# term_candidates.tsv
# detect_term_variants.py scan の入力。用語集 mapping/glossary.md の
# 「揺れ表記」欄と出現数の根拠をこのファイルから機械的に再現する。
#
# 列: category <TAB> canonical <TAB> surface
#   category   用語集のカテゴリ
#   canonical  用語集で採用する正表記
#   surface    コーパスから探す表記。canonical 自身も1行として書く
#
# 1行内では最長一致で非重複にマッチさせるため、「自動テストフレームワーク」が
# マッチした位置で「テストフレームワーク」は数えられない。部分文字列関係にある
# 候補も安心して並べてよい。逆に言えば、ここに書いた表記の集合を変えると
# 出現数も変わる。scan の出現数は「このファイル相対」の数であり、
# 生の grep の件数とは一致しない。
#
# `#` 始まりの行と空行は無視する。

# --- 全体 -----------------------------------------------------------------
全体	テスティングフレームワーク	テスティングフレームワーク
全体	テスティングフレームワーク	自動テストフレームワーク
全体	テスティングフレームワーク	テストフレームワーク
全体	テスティングフレームワーク	本フレームワーク
全体	テスティングフレームワーク	NTF
全体	ハンドラキュー	ハンドラキュー
全体	ハンドラキュー	ハンドラーキュー
全体	リクエストID	リクエストID
全体	リクエストID	リクエスト ID

# --- 処理方式（design.md 5. の正式名称） -----------------------------------
処理方式	ウェブアプリケーション	ウェブアプリケーション
処理方式	ウェブアプリケーション	Webアプリケーション
処理方式	ウェブアプリケーション	WEBアプリケーション
処理方式	RESTfulウェブサービス	RESTfulウェブサービス
処理方式	RESTfulウェブサービス	RESTful ウェブサービス
処理方式	RESTfulウェブサービス	RESTful Webサービス
処理方式	HTTPメッセージング	HTTPメッセージング
処理方式	HTTPメッセージング	HTTP メッセージング
処理方式	Nablarchバッチアプリケーション	Nablarchバッチアプリケーション
処理方式	Nablarchバッチアプリケーション	バッチアプリケーション
処理方式	Nablarchバッチアプリケーション	バッチ処理
処理方式	MOMによるメッセージング	MOMによるメッセージング
処理方式	MOMによるメッセージング	MOMメッセージング
処理方式	MOMによるメッセージング	メッセージング処理
処理方式	テーブルをキューとして使ったメッセージング	テーブルをキューとして使ったメッセージング
処理方式	Jakarta Batchに準拠したバッチアプリケーション	Jakarta Batchに準拠したバッチアプリケーション
処理方式	Jakarta Batchに準拠したバッチアプリケーション	JSR352に準拠したバッチアプリケーション
処理方式	常駐バッチ	常駐バッチ
処理方式	都度起動バッチ	都度起動バッチ

# --- メッセージング方式（FW解説書 libraries/system_messaging/ の名称） ------
メッセージング方式	応答不要メッセージ送信	応答不要メッセージ送信
メッセージング方式	応答不要メッセージ送信	応答不要メッセージ送信処理
メッセージング方式	応答不要メッセージ受信	応答不要メッセージ受信
メッセージング方式	応答不要メッセージ受信	応答不要メッセージ受信処理
メッセージング方式	同期応答メッセージ送信	同期応答メッセージ送信
メッセージング方式	同期応答メッセージ送信	同期応答メッセージ送信処理
メッセージング方式	同期応答メッセージ受信	同期応答メッセージ受信
メッセージング方式	同期応答メッセージ受信	同期応答メッセージ受信処理
メッセージング方式	同期応答メッセージ受信	メッセージ受信処理
メッセージング方式	HTTPメッセージ送信	HTTPメッセージ送信
メッセージング方式	HTTPメッセージ送信	HTTP同期応答メッセージ送信
メッセージング方式	HTTPメッセージ送信	HTTP 同期応答メッセージ送信
メッセージング方式	HTTPメッセージ送信	HTTP同期応答メッセージ送信処理
メッセージング方式	HTTPメッセージ送信	HTTP 同期応答メッセージ送信処理
メッセージング方式	HTTPメッセージ受信	HTTPメッセージ受信
メッセージング方式	HTTPメッセージ受信	HTTP同期応答メッセージ受信
メッセージング方式	HTTPメッセージ受信	HTTP 同期応答メッセージ受信
メッセージング方式	HTTPメッセージ受信	HTTP同期応答メッセージ受信処理
メッセージング方式	HTTPメッセージ受信	HTTP 同期応答メッセージ受信処理

# --- テストの種類 ----------------------------------------------------------
テストの種類	クラス単体テスト	クラス単体テスト
テストの種類	クラス単体テスト	単体テスト
テストの種類	リクエスト単体テスト	リクエスト単体テスト
テストの種類	取引単体テスト	取引単体テスト
テストの種類	エンティティ単体テスト	エンティティ単体テスト
テストの種類	エンティティ単体テスト	Form/Entity単体テスト
テストの種類	エンティティ単体テスト	Form/Entityの単体テスト
