mapping_id,src_section_id,src_type,src_file,src_body_start,src_body_end,heading_path,lines,audience,dest_part,dest_page,dest_section,disposition,note
input-0058,input-0058,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,2,6,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > (L1直下),5,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,文書全体の導入文。メッセージング系データブロック（MESSAGE／SendSync期待値／sendSyncTestData配置／ステータスコードデフォルト）のExcel・YAML記法をケースごとに引く旨を説明。判断ルール1により後続の子セクション（7.1〜7.4）と同じdest_sectionへ。design.mdの「テストデータの記載例」ページ（用途別の実例をExcelとYAMLの対比で示す）の導入部としてMERGE。
input-0059,input-0059,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,8,10,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.1 MESSAGE セクション（メッセージ送受信） > (L2直下),3,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,「受信電文と応答電文を定義するケース」の導入文で、実データの参照先（MessageParserTest.xlsのtestParseシート）を示す。判断ルール1により子セクション（Excel／YAML／制約・補足）と同じdest_sectionへMERGE。
input-0060,input-0060,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,12,31,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.1 MESSAGE セクション（メッセージ送受信） > Excel,20,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,MESSAGE=requestMessages／responseMessagesのExcel記述例（ディレクティブ・FW制御ヘッダ・フィールド定義・データ行を含む）。7.1ケースの具体例として使用方法へMERGE。
input-0061,input-0061,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,33,62,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.1 MESSAGE セクション（メッセージ送受信） > YAML,30,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,同ケースのYAML記述例（messages:のdirectives／fw_header／records構造）。Excel例（input-0060）と対をなすYAML対比としてMERGE。
input-0062,input-0062,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,64,71,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.1 MESSAGE セクション（メッセージ送受信） > 制約・補足,8,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,ディレクティブ行の記述順・Excelフィールド名称行先頭セルの扱い・no列の除去・record_type値の内部固定化という4点の補足。最後の1点はbatch-08のinput-0147（ntf-testdata-doc.md 7.10）が抽象仕様として既に説明済みだが、design.mdが定める「書き方」（抽象仕様）と「記載例」（用途別実例）の意図的な2ページ構成上、記載例側で具体例に即した同じ制約を再掲するのは想定内のため分割せずMERGE。
input-0063,input-0063,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,73,75,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.2 要求電文・応答電文の期待値（SendSync メッセージング） > (L2直下),3,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,「バッチリクエスト単体テストで電文の送受信をテストするケース」の導入文で、実データの参照先（RequestTestingSendSyncSupportTest.xls）を示す。判断ルール1により子セクションと同じdest_sectionへMERGE。
input-0064,input-0064,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,77,90,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.2 要求電文・応答電文の期待値（SendSync メッセージング） > Excel,14,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,testShots（LIST_MAP）とEXPECTED_REQUEST_HEADER_MESSAGESのExcel記述例。7.2ケースの具体例として使用方法へMERGE。
input-0065,input-0065,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,92,121,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.2 要求電文・応答電文の期待値（SendSync メッセージング） > YAML,30,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,同ケースのYAML記述例（list_maps／expected_request_header_messages）。Excel例（input-0064）と対をなすYAML対比としてMERGE。
input-0066,input-0066,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,123,130,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.2 要求電文・応答電文の期待値（SendSync メッセージング） > 制約・補足,8,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,expectedMessage／responseMessageカラムとgroup_idの対応・id:はリクエストID・ヘッダとボディのエントリ数一致必須という4点の補足。最後の一致制約はbatch-08のinput-0140（7.3 HEADER／BODY MESSAGESの構造と件数制約）と同内容だが、記載例ページ側の具体例注釈であり書き方／記載例の意図的な2ページ構成上想定内のため分割せずMERGE。
input-0067,input-0067,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,132,134,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.3 sendSyncTestData の配置規則 > (L2直下),3,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,「テストデータファイルをsendSyncTestData/{requestId}/messageに配置するケース」の導入文。判断ルール1により子セクションと同じdest_sectionへMERGE。
