mapping_id,src_section_id,src_type,src_file,src_body_start,src_body_end,heading_path,lines,audience,dest_part,dest_page,dest_section,disposition,note
input-0082,input-0082,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,2,6,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > (L1直下),5,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,文書全体の導入文。「特殊値・インタープリタ、ファイルディレクティブ、ヘッダ／コメント／空エントリのExcel・YAML記法を項目ごとに引く。各項目ともExcelとYAMLの対応例を並べ、末尾に制約を示す」旨を説明。判断ルール1により後続の子セクション（8.1〜11.2）と同じdest_sectionへ。design.mdの「テストデータの記載例」ページ（用途別実例をExcelとYAMLの対比で示す）の導入部としてMERGE。batch-11のinput-0058（同シリーズ資料の導入文）と同型。
input-0083,input-0083,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,10,58,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 8. 特殊値・インタープリタ > 8.1 日付型・Timestamp・特殊値,49,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,EXPECTED_TABLEで日付・タイムスタンプ・NULL・システム日時を使うケースのExcel・YAML記述例（BasicTestDataParserTest.xlsのconvertedValuesシート参照）。制約として、NULL文字列のNullInterpreterによるJava null変換（大文字小文字不問、YAMLはアンクォート必須）、${systemTime}が完全一致のみ変換される旨、java.sql.Timestamp型は末尾.0が必須である旨を説明。8.1ケースの具体例として使用方法へMERGE。【要確認】本文中に原文の「[要確認] ${updateTime}・${setUpTime}（行4）が解決する値の定義が本ファイルにない。${systemTime}との違いと対応するインタープリタを確認のうえ補う。」という未解決の確認事項が含まれる。ページ作成時に別途確認が必要。
input-0084,input-0084,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,60,87,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 8. 特殊値・インタープリタ > 8.2 QuotationTrimmer によるスペース値明示記法,28,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,"空白値やダブルクォート文字を明示して記述するケースのExcel・YAML記述例。制約として、Excelは半角/全角ダブルクォートで前後を囲むと外側1層のみ除去される旨、YAMLは""\""""または'""'でダブルクォート文字を記述する旨を説明。8.2ケースの具体例として使用方法へMERGE。"
input-0085,input-0085,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,89,120,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 8. 特殊値・インタープリタ > 8.3 バイナリデータ,32,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,BLOBカラムにバイナリデータを記述するケースのExcel・YAML記述例（0xプレフィクス付き16進数、${binaryFile:パス}記法）。制約として、0xプレフィクスがない場合は文字列としてエンコードされる旨を説明。8.3ケースの具体例として使用方法へMERGE。
input-0086,input-0086,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,124,163,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 9. ディレクティブ > 9.1 固定長ファイルのディレクティブ,40,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,エンコーディング（text-encoding）とゾーン10進数の符号ニブル（positive-zone-sign-nibble）を指定するケースのExcel・YAML記述例。制約として、Excelはディレクティブ行を「キー|値」2セルで記述しYAMLはdirectives:オブジェクトのkey: value形式である旨、file-typeとrecord-lengthは自動設定のため通常不要な旨、無効なディレクティブキーはIllegalArgumentExceptionがスローされる旨を説明。9.1ケースの具体例として使用方法へMERGE。
input-0087,input-0087,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,165,205,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 9. ディレクティブ > 9.2 可変長ファイルのディレクティブ,41,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,"タブ区切り・CRLF改行のファイルを扱うケースのExcel・YAML記述例。制約として、タブ文字の記法がExcel（\t の2文字）とYAML（""\\t""）で異なる旨、record-separatorの有効値（NONE/CR/LF/CRLF/任意リテラル）、field-separatorは1文字のみ有効で2文字以上はIllegalArgumentExceptionがスローされる旨を説明。9.2ケースの具体例として使用方法へMERGE。"
input-0088,input-0088,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,209,246,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 10. ヘッダ・コメント・空エントリ > 10.1 コメントとマーカーカラム,38,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,コメント行とマーカーカラムのExcel・YAML記述例。制約として、Excelは//で始まる行が丸ごとスキップされ行内コメントも切り捨てられる旨（Excel固有）、YAMLは標準の#コメント構文を使う旨、[no]・[desc]等の角括弧カラムはマーカーカラムでDB操作から除外されYAMLではダブルクォートで囲む旨を説明。10.1ケースの具体例として使用方法へMERGE。
input-0089,input-0089,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,248,281,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 10. ヘッダ・コメント・空エントリ > 10.2 空エントリのスキップ,34,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,全要素がnullまたは空文字のエントリが読み飛ばされるケースのExcel・YAML記述例。制約として、Excelは全セルが空の行が自動的にスキップされる旨、YAMLはキー省略のため空エントリを記述する機会がほとんどなく空行を挿入しても無視される旨を説明。10.2ケースの具体例として使用方法へMERGE。
input-0090,input-0090,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,283,285,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 11. DB アサート > (L2直下),3,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,「テーブルアサートの記法・省略カラムの扱い・主キー突合はntf-testdata-doc-examples-table.mdと本体仕様（ntf-testdata-doc.md 5.4）に詳しい。ここではDBアサート固有の挙動だけを示す」という導入文。一般的な記法仕様は既存の別資料が担うと明言したうえで、本セクション（11.1/11.2）は具体的な挙動の実例に限定する旨を宣言する内容であり、実質的に用途別実例（記載例ページ）の性格を持つ。判断ルール1により子セクション（11.1・11.2）と同じdest_sectionへMERGE。
input-0091,input-0091,input,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,287,316,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 11. DB アサート > 11.1 テーブルアサート（順序不問・主キー突合・全件列挙）,30,user,第3部 テストの実装方法,テストデータの記載例,使用方法,MERGE,EXPECTED_TABLEの行照合の動作（期待行とDB行はDBの主キーで対応付けられ記述順とDB格納順が違っても突合される、対象テーブルのDB行は全件列挙が必要で部分検証はできない）を説明したうえで、USERテーブル2行を前提としたExcel・YAML記述例を示す。主キーが自動採番の場合は複数行検証が成立しない旨の注意も含む。冒頭の「動作」説明部分は本体仕様（ntf-testdata-doc.md 5.4、入力側の記述によれば既に別資料で説明済み）と重なる可能性があるが、input-0090が明言するとおり本節はその具体例（DBアサート固有の挙動を示す実例）としての位置づけであり、design.mdが定める「書き方」（抽象仕様）／「記載例」（用途別実例）の意図的な2ページ構成上、記載例側で具体例に即した制約を再掲するのは想定内のためbatch-11のinput-0062等と同様に分割せずMERGE。
