mapping_id,src_section_id,src_type,src_file,src_body_start,src_body_end,heading_path,lines,audience,dest_part,dest_page,dest_section,disposition,note
current-0366,current-0366,current,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/03_HtmlCheckTool/index.rst,1,2,(冒頭),2,user,,,,DROP,本文は「.. _html_check_tool:」というRST内部アンカーラベルと空行のみで、実体的な記述がない。判断ルール1によりDROP。新規ページ作成時に:refラベルを付与し直せば足りる。
current-0367,current-0367,current,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/03_HtmlCheckTool/index.rst,6,9,HTMLチェックツール > (L1直下),4,user,第4部 ツール,HTMLチェックツール,機能概要,MERGE,暫定。design.mdの第2部・第3部いずれのページツリーにもHTMLチェックツールに対応するページが存在しない（HttpDumpTool→リクエスト単体データ作成ツール、MasterDataSetup→マスタデータ投入ツールは既存バッチで割当済みだが、同じ08_TestTools配下のHtmlCheckToolのみ受け皿がない。glossary.mdもHTMLチェックツールを正表記として確定しつつ『design.mdに受け皿のページがない（§11 申し送り事項1）』と明記）。本セクションはL1見出し直下の1文「HTMLチェックツールの目的、仕様、使用方法に関して記述する。」のみで、ページが扱う3項目（目的・仕様・使用方法）を列挙する導入文であり実体的な解説はない。HttpDumpTool/MasterDataSetupが第3部・第2部にそれぞれ独立ページとして割り当てられた前例に倣い、HTMLチェックツールも第2部 導入と設定配下に暫定ページ「HTMLチェックツール」を新設して割り当てる（config/拡張中心の内容のため第2部が適切と判断）。design.md未記載のため要確認。
current-0368,current-0368,current,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/03_HtmlCheckTool/index.rst,12,16,HTMLチェックツール > 目的,5,user,第4部 ツール,HTMLチェックツール,機能概要,MERGE,暫定（current-0367と同じ理由でdest_pageは新設。以下同様）。終了タグ忘れ等の構文不正による想定外の画面表示を防ぐことと、プロジェクト規約で禁止されたタグの使用を防ぐことの2点を箇条書きで説明。ツールの存在理由そのものであり機能概要へMERGE。
current-0369,current-0369,current,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/03_HtmlCheckTool/index.rst,19,65,HTMLチェックツール > 仕様 > (L2直下),47,user,第4部 ツール,HTMLチェックツール,機能概要,MERGE,暫定。リクエスト単体テストで自動生成されたHTMLファイルにチェックを行い不正HTML検出時はテスト失敗とする旨、本ツールはリクエスト単体テストに標準組み込みで実行される旨を述べたうえで、チェック内容（デフォルトでHTML4.01準拠の構文チェック、開始・終了タグの記述漏れをタグ省略許可なしでチェック、設定ファイルに記載したタグ・属性の使用有無チェック、大文字小文字区別なし、boolean属性使用可、属性のクォーテーション省略不可）を箇条書きで列挙し、脚注でカスタマイズ可能な旨・例外は次項参照・デフォルトはW3C非推奨タグ属性が設定済みでカスタマイズ方法は:ref:`01_custom`参照と補足。加えてtipでHTMLに直接記述したJavaScriptに「-」が2つ以上連続するとテスト失敗となる旨、失敗するJavaScript実装例・エラーメッセージ・対応方法（外部ファイル化）を示す。いずれも本ツールの検査仕様（何をどうチェックするか）の説明のため機能概要へMERGE。
current-0370,current-0370,current,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/03_HtmlCheckTool/index.rst,68,82,HTMLチェックツール > 仕様 > HTML4.01との相違点,15,user,第4部 ツール,HTMLチェックツール,機能概要,MERGE,暫定。クライアントサイドでの動的DOM操作が一般化しているため、本ツールはボディが空のタグ（例：空のspanタグ、optionのないselectタグ）を許容するというHTML4.01仕様との相違点をコード例とともに説明。current-0369と同じ検査仕様の一部のため機能概要へMERGE。
current-0371,current-0371,current,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/03_HtmlCheckTool/index.rst,88,92,HTMLチェックツール > 使用方法 > 前提条件,5,user,第4部 ツール,HTMLチェックツール,機能概要,MERGE,暫定。実体は「リクエスト単体テストを実行可能であること。」という1文の前提条件のみ。design.mdの第2部ページテンプレートでは前提事項は機能概要配下の項目として定義されているため（原文見出しは「使用方法」配下だが内容は前提条件そのもの）、機能概要へMERGE。
current-0372,current-0372,current,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/03_HtmlCheckTool/index.rst,95,139,HTMLチェックツール > 使用方法 > 使用禁止タグ・属性のカスタマイズ方法,45,user,第4部 ツール,HTMLチェックツール,使用方法,MERGE,暫定。デフォルト設定のまま使う場合は変更不要である旨、自動テスト用設定ファイルのhtmlCheckerConfigプロパティに禁止タグ・属性を記載した設定ファイルへのパスを指定するXML設定例、その設定ファイル自体の記述方法（タグ名と属性名をカンマ区切りで1行、複数属性は複数行、属性欄省略でタグ自体の使用を禁止、属性欄省略時もカンマは省略不可）を説明。コンポーネント設定ファイルの設定項目そのものであり使用方法へMERGE。
current-0373,current-0373,current,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/03_HtmlCheckTool/index.rst,142,160,HTMLチェックツール > 使用方法 > HTMLチェック実行要否の設定方法,19,user,第4部 ツール,HTMLチェックツール,使用方法,MERGE,暫定。自動テスト用設定ファイルのcheckHtmlプロパティをtrue/falseで切り替えることでHTMLチェック実施要否を設定できる旨とXML設定例。設定ファイルの設定項目のため使用方法へMERGE。
current-0374,current-0374,current,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/03_HtmlCheckTool/index.rst,163,226,HTMLチェックツール > 使用方法 > HTMLチェック内容の変更,64,user,第4部 ツール,HTMLチェックツール,使用方法,MERGE,nablarch.test.core.http.HttpTestConfigurationクラスのhtmlCheckerプロパティを変更することでHTMLチェック内容自体を変更できる旨を説明し、独自実装クラスSimpleHtmlChecker（HtmlCheckerインタフェースを実装しチェック内容を差し替える例）のJavaコード例と、そのクラスをhtmlCheckerとしてコンポーネント設定するXML例を示す。第4部の「使用方法」は<操作手順>するの緩いテンプレートであり、本ツールが提供する操作手順の1つとして使用方法へMERGE（2026-07-28、dest_section=拡張例はvocabulary.mdの第4部に定義がなくverify_mapping.pyで検出、ユーザー判断により使用方法へ変更。旧判断はcheck/task-05.md参照）。
current-0375,current-0375,current,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/03_HtmlCheckTool/index.rst,229,238,HTMLチェックツール > 使用方法 > テスト実行時指摘確認方法,10,user,第4部 ツール,HTMLチェックツール,使用方法,MERGE,暫定。リクエスト単体テスト実行時に自動生成されたHTMLファイルに指摘があった場合は該当テストケースが失敗する旨、JUnitコンソールに指摘箇所・指摘内容が出力される旨（スクリーンショット画像を伴う）、該当HTMLの出力元JSPを修正しテストを再実行する旨を説明。本ツールが失敗した際の確認・対応手順であり使用方法へMERGE。
