mapping_id,src_section_id,src_type,src_file,src_body_start,src_body_end,heading_path,lines,audience,dest_part,dest_page,dest_section,disposition,note
current-0076,current-0076,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,1,2,(冒頭),2,user,,,,DROP,内容は「.. _requestUnitTest:」というRST内部アンカーラベルのみで、直後の空行以外に実体的な記述がない。新構成のページ作成時に:refラベルを付与し直せば足りるため対応不要。
current-0077,current-0077,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,11,37,リクエスト単体テストの実施方法 > テストクラスの書き方,27,user,第3部 テストの実装方法,ウェブアプリケーション,使用方法,MOVE,テストクラスの命名規則（<Action>RequestTest）、パッケージ規則、BasicHttpRequestTestTemplate継承の必須要件とコード例、DbAccessTestSupportを兼ねる旨のtipを記載。ウェブアプリケーションページの「テストクラスを作成する」手順の中核内容。
current-0078,current-0078,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,41,70,リクエスト単体テストの実施方法 > テストメソッド分割,30,user,第3部 テストの実装方法,ウェブアプリケーション,使用方法,MOVE,正常系/異常系/画面表示検証でテストメソッドを分割する判断基準と分割例の表を記載。「テストメソッドを作成する」手順の一部。
current-0079,current-0079,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,74,82,リクエスト単体テストの実施方法 > テストデータの書き方 > (L2直下),9,user,第3部 テストの実装方法,ウェブアプリケーション,使用方法,MOVE,Excelファイルの格納規則（テストソースと同じディレクトリ・同じ名前で拡張子のみ異なる）という実体的な規則と、詳細記法は:ref:`how_to_write_excel`（=テストデータの書き方ページ）を参照させる導線の両方を含む。「テストデータを作成する」手順としてMOVEし、テストデータの書き方ページへの参照を維持する。
current-0080,current-0080,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,85,96,リクエスト単体テストの実施方法 > テストデータの書き方 > テストクラスで共通のデータベース初期値,12,user,第3部 テストの実装方法,テストデータの書き方,使用方法,MOVE,setUpDbシートによるDB初期値投入という記法仕様であり、design.md#4の方針（記法仕様はテストデータの書き方ページに集約）に従いMOVE。クラス単体テストとも共通の記法のため、リクエスト単体テスト固有ページではなくテストデータの書き方ページに寄せる。
current-0081,current-0081,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,99,193,リクエスト単体テストの実施方法 > テストデータの書き方 > テストケース一覧,95,user,第3部 テストの実装方法,テストデータの書き方,使用方法,MOVE,testShots(LIST_MAP)の全カラム仕様（no/description/context/cookie/queryParams/isValidToken/setUpTable/expectedStatusCode/expectedMessageId/expectedSearch/expectedTable/forwardUri/expectedContentLength等/expectedMessage系）を定義する記法仕様。design.md#4「テストデータの書き方」に集約する方針によりMOVE。95行だが100行未満のためsplit-plan.mdの対象外、本バッチで直接判断。
current-0082,current-0082,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,196,212,リクエスト単体テストの実施方法 > テストデータの書き方 > ユーザ情報,17,user,第3部 テストの実装方法,テストデータの書き方,使用方法,MOVE,リクエスト送信時のユーザ・HTTPメソッドをLIST_MAPで指定する記法仕様。テストデータの書き方ページの記法仕様に該当。
current-0083,current-0083,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,215,228,リクエスト単体テストの実施方法 > テストデータの書き方 > Cookie情報,14,user,第3部 テストの実装方法,テストデータの書き方,使用方法,MOVE,Cookie情報をLIST_MAPで指定する記法仕様（任意項目）。テストデータの書き方ページに該当。
current-0084,current-0084,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,231,243,リクエスト単体テストの実施方法 > テストデータの書き方 > クエリパラメータ情報,13,user,第3部 テストの実装方法,テストデータの書き方,使用方法,MOVE,クエリパラメータをLIST_MAPで指定する記法仕様（任意項目）。テストデータの書き方ページに該当。
current-0085,current-0085,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,246,304,リクエスト単体テストの実施方法 > テストデータの書き方 > リクエストパラメータ,59,user,第3部 テストの実装方法,テストデータの書き方,使用方法,MOVE,requestParams(LIST_MAP)の記法、testShotsとの行単位対応、複数値のカンマ区切り表現とエスケープ規則を記載。記法仕様のためテストデータの書き方ページへMOVE。本文中の:ref:`http_dump_tool`は「リクエスト単体データ作成ツール」ページへの導線として維持想定。
current-0086,current-0086,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,307,333,リクエスト単体テストの実施方法 > テストデータの書き方 > 各種期待値,27,user,第3部 テストの実装方法,テストデータの書き方,使用方法,MOVE,期待する検索結果・期待するデータベースの状態をテストケース一覧とID紐付けする記法仕様。テストデータの書き方ページに該当。
current-0087,current-0087,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,340,381,リクエスト単体テストの実施方法 > テストメソッドの書き方 > スーパクラスについて,42,user,第3部 テストの実装方法,ウェブアプリケーション,使用方法,MOVE,BasicHttpRequestTestTemplateがtestShotsを基に実行する一連の処理（DB初期化、ExecutionContext/HTTPリクエスト生成、before/afterExecuteRequestフック呼出、検証）と、getBaseUri()オーバーライドのコード例。「テストクラスを作成する」「テストメソッドを作成する」手順の前提説明として使用方法にMOVE。Nablarch開発者向けの内部実装解説ではなく、利用者がフックを使うために必要な動作説明のため audience=user。
current-0088,current-0088,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,384,395,リクエスト単体テストの実施方法 > テストメソッドの書き方 > テストメソッド作成,12,user,第3部 テストの実装方法,ウェブアプリケーション,使用方法,MOVE,準備したテストシートに対応する@Testメソッドを作成する最小例。「テストメソッドを作成する」手順の中核。
current-0089,current-0089,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,398,652,リクエスト単体テストの実施方法 > テストメソッドの書き方 > スーパクラスのメソッド呼び出し,255,user,第3部 テストの実装方法,ウェブアプリケーション,使用方法,MOVE,255行(>=100)のため mapping/split-plan.md を確認（grep -n '^| current-0089' split-plan.md）。同ファイルの既承認結果は「no split」で、内容はexecute()/execute(Advice)の呼び出し方とAdvice内での各種検証コード例（Entity/SqlRow/リクエストパラメータ検証等）のみであり、全てテストメソッド実装手順（アプリ開発者向け）、設定・拡張の説明はないと判定済み。宛先も第3部 > ウェブアプリケーション > 使用方法（テストメソッドを作成する）とsplit-plan.mdに明記されており、そのまま採用（分割なし・単一行）。
current-0090,current-0090,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,655,694,リクエスト単体テストの実施方法 > テストメソッドの書き方 > ダウンロードファイルのテスト,40,user,第3部 テストの実装方法,ウェブアプリケーション,使用方法,MOVE,ダウンロードファイルのアサート方法（ダンプファイル命名規則、FileSupport#assertFileのコード例）。「テストメソッドを作成する」手順の一部としてMOVE。
current-0091,current-0091,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,698,701,リクエスト単体テストの実施方法 > テスト起動方法,4,user,第3部 テストの実装方法,ウェブアプリケーション,使用方法,MOVE,「クラス単体テストと同様、通常のJUnitテストと同じように実行する」という短い記述。「テストを実行する」手順に対応。
